title,company,location,description,url
Machine Learning II,Wayfair,"Bangalore, Karnataka","Who we are : Wayfair is moving the world so that anyone can live in a home they love – a journey enabled by more than 3,000 Wayfair engineers and a data-centric culture. The Customer Technology(CT) team builds and owns all the Machine learning (ML) products that power all search, marketing, and recommendations technology across Wayfair. Our algorithms tackle a varied & broad spectrum of challenges in the Wayfair marketplace; from empowering suppliers to easily add products to our catalog, to en…",https://www.adzuna.in/land/ad/5868154123?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=2A76050FF86A705EC1E71FEE64DFE517445586F0
Machine Learning Ops,Tata Consultancy Services,"Bangalore, Karnataka","Role : Machine Learning Ops Exp: 6-8 years Location: Pan India Job Description: Must-Have Strong experience in proper model deploying, logging, API development/deployment Verteaxi, GCP, Python, SQL & Deep learning, Created, deployed, scheduled and monitored multiple ML based applications (Knowledge of model lifecycle: training → validation → deployment → monitoring) Good-to-Have Proven experience (4 years) with ML Ops, model development, model registry, feature monitoring, model performance mon…",https://www.adzuna.in/land/ad/5880070118?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=0162A9AFEA0D8C542275203B6AE7BF24AB59CFD6
Senior Machine Learning Engineer,HP,"Bangalore, Karnataka","This job is with HP, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Senior Machine Learning Engineer Description - We are looking for a Senior MLOps Engineer to design, build, and operate the infrastructure that enables machine learning models and large language models to be deployed safely, reliably, and at scale. In this role, you will create the end-to-end capabilities required to mov…",https://www.adzuna.in/land/ad/5856695853?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=AFA50FD5767ECBCAF67874C67EE3318567B3F84A
Machine Learning Engineer - APAC,LexisNexis Legal & Professional®,"Bangalore, Karnataka","This job is with LexisNexis Legal & Professional®, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Machine Learning Engineer About our Company LexisNexis Legal & Professional, a division of RELX, is a global leader in providing information-based analytics and decision tools for professional and business customers. With a presence in over 150 countries and a workforce of 11,300 employees w…",https://www.adzuna.in/land/ad/5862635702?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=53D4DF556D646C5F462C8F3FC782D72E8A35D08B
Senior Data Scientist,Confidential Jobs,"Bangalore, Karnataka","About the Role We are seeking a Senior Data Scientist to design, build, and scale advanced machine learning solutions that power customer engagement, optimization, and decision-making systems. This role is ideal for someone who enjoys translating complex business challenges into robust, production-ready data products and thrives at the intersection of machine learning, software engineering, and data platform development. You will take deep ownership of the end-to-end ML lifecycle, from model de…",https://www.adzuna.in/land/ad/5877452317?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=F522953201E0B58574ED6B98C70017EFCA7EF253
AI Solutions Engineer,HP,"Bangalore, Karnataka","This job is with HP, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. AI Solutions Engineer Description - Job Summary • This role is responsible for specializing in development and deployment of machine learning models that drive innovation and business value. The role researches and implements appropriate ML algorithms and tools, runs machine learning tests and experiments, and trains and…",https://www.adzuna.in/land/ad/5846723241?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=0084818D71681FAC4F572D55AE1C6BC637792931
Data Science Lead,Confidential Jobs,"Bangalore, Karnataka","About the Role We are seeking an experienced Data Science Lead to define and advance the organization's machine learning, artificial intelligence, and decision intelligence capabilities. This role will lead a team of Data Scientists and partner with cross-functional stakeholders to develop scalable analytics and AI solutions that enhance customer experiences, optimize business performance, and unlock new growth opportunities. The ideal candidate combines deep technical expertise with strong lea…",https://www.adzuna.in/land/ad/5877457599?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=4733DAD39A91ED8B918A709B014E4ED0D56E3326
Senior Data Scientist,Kraft Heinz,"Bangalore, Karnataka","This job is with Kraft Heinz, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Description Are you a talented and driven Data Scientist with expertise in machine learning and a passion for building robust pipelines for demand forecasting? We are seeking a skilled individual to join our dynamic team at Kraft Heinz. Join our team and make an impact by leveraging machine learning and dema…",https://www.adzuna.in/land/ad/5822403303?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=8275CB4E87777E50BE08D22D65CF6F2BCB4647D1
Azure Data Factory,Tata Consultancy Services,"Bangalore, Karnataka","Mode Of Interview: Walk-In Drive (In-Person) Date: September 19,2026(Saturday) Job Title : Databricks Developer / Lead Experience : 4-10 years Job Summary : An experienced Databricks Developer / Lead to design, develop, and optimize data solutions using Databricks, Spark, and related technologies. The ideal candidate should have a strong background in data engineering, data science, and programming languages like Python, Scala, or Java. Responsibilities: Data Solution Development: Design, devel…",https://www.adzuna.in/land/ad/5876016009?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=4FE9764DDD4D00DC1783D87D4AA3AC96B37BF5E5
Data Science Specialist,Polestar Analytics,"Bangalore, Karnataka","Job Title: Data Scientist – Revenue Growth Management Location: Bangalore Employment Type: Full-time Experience: 3–6 Years Industry Focus: IT Services, Artificial Intelligence & Analytics Position Summary We are looking for a skilled Data Scientist – Revenue Growth Management (RGM) with 3–6 years of experience in Data Science, Advanced Analytics, or Machine Learning. The ideal candidate will have strong hands-on expertise in developing advanced analytics and machine learning solutions across pr…",https://www.adzuna.in/land/ad/5864434859?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=BE53F35ACA83BD29D328C8745F27CF70F132F879
Data Scientist,Infosys Finacle,"Bangalore, Karnataka","Job Title: Data Scientist and Senior Data Scientist / AI & Machine Learning Engineer Experience Require dMinimum 3-6 year s of relevant experience in Data Science, Machine Learning, or Artificial Intelligence . Jr Data Scientist - 3-4 years Sr Data Scientist - 6-8 years Job Summary We are seeking an experienced and highly motiva ted Data Scientist / AI Engi neer to work on cutting‑edge AI solutions in collaboration with leading business partners. The ideal candidate will design, build, deploy, …",https://www.adzuna.in/land/ad/5876010793?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=8D81876C99F248DACDDC8104E41D7CB59A09112B
Senior VLM Developer – Vision Language Models,Technozis,"Bangalore, Karnataka","Senior VLM Developer – Vision Language Models Location: Bangalore, India Experience: 7.5 Years Joining: Immediate – September 2026 We are looking for an experienced Senior VLM Developer with strong foundations in Machine Learning and Deep Learning to build, fine-tune, and evaluate Vision-Language Models (VLMs) for multimodal perception and understanding applications. The role involves developing large-scale training pipelines, curating multimodal datasets, experimenting with model architectures…",https://www.adzuna.in/land/ad/5870527581?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=6ACA4052CFBD411CF524042F94CE9D3B3C54200D
